,content
1.Scope,"This Regulation covers new pneumatic tyres* designed primarily for vehicles of categories M2, M3, N, O3 and O4., However, it does not apply to tyre types identified by speed category symbols corresponding to speeds below eighty (80) km/h."
2.Definitions,For the purposes of this Regulation:
2.1.,"""Type of tyre"" means tyres which do not differ in such essential characteristics as:(a)	The manufacturer’s name:(b)	Tyre-size designation;(c) 	Category of use (normal tyre, snow tyre, special use tyre);(d)	Structure (diagonal (bias-ply, radial);(e)	Speed category symbol;(f)	Load-capacity indexes;(g)	Tyre cross-section."
2.2.," ""Manufacturer"" means the person or body who is responsible to the Type Approval Authority (TAA) for all aspects of the type-approval and for ensuring the conformity of production."""
2.3.,"""Brand name/trademark"" means the identification of the brand or trademark as defined by the tyre manufacturer and marked on the sidewall(s) of the tyre. The brand name/trademark may be the same as that of the manufacturer""."
2.4.,"""Trade description/commercial name"" means an identification of a range of tyres as given by the tyre manufacturer. It may coincide with the brand name/trademark."
2.5.,Category of use:
2.5.1.,"""Normal tyre"" means a tyre intended for normal, on-road use;"
2.5.2.,"""Snow tyre"" means a tyre whose tread pattern, tread compound or structure is primarily designed to achieve in snow conditions a performance better than that of a normal tyre with regard to its ability to initiate or maintain vehicle motion;"
2.5.3.,"""Special use tyre"" means a tyre intended for mixed use both on- and off-road or for other special duty. These tyres are primarily designed to initiate and maintain the vehicle in motion in off-road conditions;"
2.5.3.1.,"""Professional off-road tyre"" is a special use tyre primarily used for service in severe off-road conditions;"
2.6.,change
2.6.1.,"""Diagonal"" or ""bias-ply"" describes a tyre structure in which the ply cords extend to the beads and are laid at alternate angles substantially less than 90° to the centreline of the tread;"
2.6.2.,"""Radial"" describes a tyre structure in which the ply cords extend to the beads and are laid substantially at 90° to the centreline of the tread, the carcass being stabilized by an essentially inextensible circumferential belt;"
2.7.,"""Bead"" means the part of a tyre which is of such shape and structure as to fit the rim and to hold the tyre on it; "
2.8.,"""Cord"" means the strands forming the fabric of the plies in the tyre; 3 "
2.9.,"""Ply"" means a layer of rubber-coated parallel cords3; "
2.10.,"""Carcass"" means that part of a tyre other than the tread and the rubber sidewalls which, when inflated, bears the load; 3 "
2.11.,"""Tread"" means that part of a tyre which comes into contact with the ground, protects the carcass against mechanical damage and contributes to ground adhesion; 3 "
2.12.,"""Sidewall"" means the part of a tyre between the tread and the area designed to be covered by the rim flange; 3 "
2.13.,"""Lower sidewall"" means the area included between the line of maximum section width of the tyre and the area designed to be covered by the rim flange; 3 "
2.13.1.,"However, in case of tyres identified by the ""tyre to rim fitment configuration"" (see paragraph 3.1.12.) symbol ""A"", it means the area of the tyre which is seating on the rim;"
2.14.,"""Tread groove"" means the space between two adjacent ribs and/or blocks in the tread pattern; 3 "
2.15.,"""Section width (S)"" means the linear distance between the outsides of the sidewalls of an inflated tyre, excluding elevations due to labelling (marking), decoration or protective bands or ribs; 3 "
2.16.,"""Over-all width"" means the linear distance between the outsides of the sidewalls of an inflated tyre, including labelling (marking), decoration and protective bands or ribs; 3"
2.17.,"""Section height (H)"" means a distance equal to half the difference between the outer diameter of the tyre and the nominal rim diameter;"
2.18.,"""Nominal aspect ratio (Ra)"" means one hundred times the number obtained by dividing the number expressing the section height (H) by the number expressing the nominal section width (S1), both dimensions expressed in the same units;"
2.19.,"""Outer diameter (D)"" means the overall diameter of an inflated new tyre3; "
2.20.,"""Tyre-size designation"" means:"
2.20.1.,A designation showing:
2.20.1.1.,"The nominal section width (S1).  This width must be expressed in mm, except in the case of types of tyre for which the size designation is shown in the first column of the tables in Annex 5 to this Regulation;"
2.20.1.2.,"The nominal aspect ratio, except in the case of certain types of tyre for which the size designation is shown in the first column of the tables in Annex 5 to this Regulation or, depending on the tyre design type, the nominal outer diameter expressed in mm;"
2.20.1.3.,"A conventional number ""d"" (the ""d"" symbol) denoting the nominal diameter of the rim and corresponding to its diameter expressed either in codes (number below 100) or in millimetres (numbers above 100).  Numbers corresponding to both types of measurement may be used together in the designation;"
2.20.1.3.1.,"The values of the ""d"" symbols expressed in millimetres are shown below:"
2.20.1.4.,"An indication of the tyre to rim fitment configuration when it differs from the standard configuration and is not already expressed by the symbol ""d"" denoting the nominal rim diameter code;"
2.21.,change
2.22.,"""Rim"" means the support for a tyre-and-tube assembly, or for a tubeless tyre, on which support the tyre beads are seated3; "
2.23.,"""Theoretical rim"" means a rim whose width would be equal to x times the nominal section width of a tyre; the value of x shall be specified by the manufacturer of the type;"
2.24.,"""Measuring rim"" means the rim on which a tyre must be fitted for dimensional measurements;"
2.25.,"""Test rim"" means the rim on which a tyre must be fitted for load/speed endurance testing;"
2.26.,"""Chunking"" means the breaking away of pieces of rubber from the tread;"
2.27.,"""Cord separation"" means the parting of the cords from their coating;"
2.28.,"""Ply separation"" means the parting of adjacent plies;"
2.29.,"""Tread separation"" means the pulling away of the tread from the carcass;"
2.30.,"""Load-capacity index"" means one or two numbers which indicate the load the tyre can carry in single or in single and dual operation at the speed corresponding to the associated speed category and when operated in conformity with the requirements governing utilization specified by the manufacturer.  A type of tyre can have either one or two sets of load capacity indices depending on whether or not the provisions of paragraph 6.2.5. are applied.  The list of these indices and their corresponding loads is given in Annex 4;"
2.31.,"""Speed category"" means:"
2.31.1.,"The speeds, indicated by a symbol, at which the tyre can carry the load indicated by the associated load-capacity index;"
2.31.2.,The speed categories are as shown in the table below:
2.32.,"""Table load-capacity variation with speed"" means:		The table, in Annex 8, showing as a function of the load-capacity indices and nominal-speed-category symbols the load variations which a tyre can withstand when used at speeds different from that conforming to its nominal-speed-category symbol.  The load variations do not apply in the case of the additional load capacity symbol and speed category obtained when the provisions of paragraph 6.2.5. are applied;"
2.33.,"""Void to fill ratio"" means the ratio between the area of voids in a reference surface and the area of this reference surface calculated from the mould drawing;"
2.34.,"""Tyre Class"" means one of the following groupings:"
2.34.1.,change
2.34.2.,"Class C3 tyres: Tyres identified by:(a)	A load capacity index in single formation higher or equal to 122; 	or(b)	A load capacity index in single formation lower or equal to 121 and a speed category symbol lower or equal to ""M"".		3.		Markings"
3,Markings
3.1.,Tyres submitted for approval shall bear on both side walls in the case of symmetrical tyres and at least on the outer side wall in the case of asymmetrical tyres:
3.1.1.,The manufacturer’s name or the Brand name/trademark;
3.1.2.,"The trade description/commercial name (see paragraph 2.4. of this Regulation). However, the trade description is not required when it coincides with the Brand name/trademark. "
3.1.3.,The tyre-size designation as defined in paragraph 2.20. of this Regulation;
3.1.4.,An indication of the structure as follows:
3.1.4.1.,"On diagonal (bias-ply) tyres: no indication, or the letter ""D"";"
3.1.4.2.,"On radial-ply tyres: the letter ""R"" placed in front of the rim-diameter marking and, optionally, the word ""RADIAL"";"
3.1.5.,The speed-category symbol (or symbols);
3.1.5.1.,An indication of the tyre's nominal speed category in the form of the symbol prescribed in paragraph 2.31.2. above;
3.1.5.2.,An indication of a second speed category in cases where paragraph 6.2.5. below is applied;
3.1.6.,"The inscription M+S or M.S or M&S if the tyre is classified in the category of use ""snow tyre"" or if the tyre is classified in the category of use ""special use tyre"" when declared by the tyre manufacturer at paragraph 4.1.3. as complying also with the definition given in paragraph 2.5.2.;"
3.1.7.,The load-capacity indices as defined in paragraph 2.30. of this Regulation;
3.1.8.,"The word ""TUBELESS"" if the tyre is designed for use without an inner tube;"
3.1.9.,"The date of manufacture in the form of a group of four digits, the first two showing the week and the last two the year of manufacture.  However, this marking, which it is permissible to restrict to one sidewall, shall not be mandatory, on any tyre submitted for approval, until two years after the date of entry into force of this Regulation;"
3.1.10.,"In the case of tyres which can be regrooved, the symbol “” at least 20 mm in diameter, or the word ""REGROOVABLE"", moulded into or on to each sidewall;"
